,name,reads
0,SRS015190,70897382
1,SRS019910,40785585
2,SRS049900,67435145
3,SRS023914,66712238
4,SRS058770,68503868
5,SRS015960,50539139
6,SRS011271,70221646
7,SRS024435,64287486
8,SRS065504,64078330
9,SRS022524,10377218
10,SRS049959,59853377
11,SRS017521,56379101
12,SRS012902,56174753
13,SRS016585,63157206
14,SRS058723,57511036
15,SRS051031,60115882
16,SRS016056,47084006
17,SRS015217,52683540
18,SRS017103,62752035
19,SRS054956,51130603
20,SRS016095,59506989
21,SRS043411,35718784
22,SRS011239,71321092
23,SRS049712,65369658
24,SRS024265,61816379
25,SRS016495,59493616
26,SRS019267,64719111
27,SRS054590,46310731
28,SRS049995,62140631
29,SRS014683,46523958
30,SRS050299,37747965
31,SRS016018,43810047
32,SRS050925,50876992
33,SRS019787,59190762
34,SRS045645,53988466
35,SRS012273,61378378
36,SRS011452,19585879
37,SRS022609,65002241
38,SRS015854,54014004
39,SRS019968,59165838
40,SRS021948,54139663
41,SRS016335,66204852
42,SRS018575,50071020
43,SRS023583,53643947
44,SRS016203,15024955
45,SRS015264,33986721
46,SRS019601,62539065
47,SRS045004,63024234
48,SRS024625,59175821
49,SRS024549,52728707
50,SRS055982,52841734
51,SRS020233,66943683
52,SRS056519,62580856
53,SRS011134,67627579
54,SRS014459,45416163
55,SRS017433,57784138
56,SRS016989,68856601
57,SRS062427,48647871
58,SRS014613,57080899
59,SRS047014,51882677
60,SRS015065,50319983
61,SRS063040,57333698
62,SRS048164,48310773
63,SRS016267,54685494
64,SRS014923,57491751
65,SRS017191,56468359
66,SRS052027,65015913
67,SRS023971,68032200
68,SRS015133,55047770
69,SRS022137,45087107
70,SRS078176,52820703
71,SRS011061,63328324
72,SRS016753,57844085
73,SRS013476,60069805
74,SRS050422,47045168
75,SRS011405,68398187
76,SRS013158,66286367
77,SRS017247,43634994
78,SRS043001,65139192
79,SRS013951,49445544
80,SRS015663,57647311
81,SRS053335,60303340
82,SRS053398,55936776
83,SRS018817,59077383
84,SRS023346,41386355
85,SRS013215,62384824
86,SRS017307,66779174
87,SRS018133,62023458
88,SRS051882,52982101
89,SRS048870,53407881
90,SRS047044,47966400
91,SRS063985,54627844
92,SRS056259,62356319
93,SRS017701,56005211
94,SRS024331,63616500
95,SRS015369,49244585
96,SRS019685,60677396
97,SRS022713,44957623
98,SRS016954,65697523
99,SRS043701,64159081
100,SRS042284,36695373
101,SRS016517,69203022
102,SRS024388,70081911
103,SRS053214,52838966
104,SRS020869,53991743
105,SRS018313,67290801
106,SRS018656,26153968
107,SRS077730,52644698
108,SRS024132,60324566
109,SRS064276,46882290
110,SRS024075,73065458
111,SRS014287,41684513
112,SRS021484,66593329
